Depth :1 Time :448
Depth :6 Time :1
Depth :7 Time :4
Depth :8 Time :9
Depth :9 Time :34
Depth :10 Time :77
Depth :11 Time :202
Depth :12 Time :372
Depth :13 Time :518
Depth :13 Time :1
Depth :14 Time :3
Depth :14 Time :513
Depth :14 Time :3
Depth :15 Time :6
Depth :15 Time :5
Depth :15 Time :496
Depth :15 Time :8
Depth :16 Time :19
Depth :16 Time :7
Depth :16 Time :14
Depth :16 Time :499
Depth :16 Time :1
Depth :16 Time :20
Depth :17 Time :30
Depth :17 Time :6
Depth :17 Time :19
Depth :17 Time :10
Depth :17 Time :478
Depth :17 Time :47
Depth :17 Time :2
Depth :18 Time :94
Depth :18 Time :57
Depth :18 Time :37
Depth :18 Time :47
Depth :18 Time :15
Depth :18 Time :1
Depth :18 Time :1
Depth :18 Time :5
Depth :18 Time :103
Depth :18 Time :467
Depth :19 Time :98
Depth :19 Time :37
Depth :19 Time :60
Depth :19 Time :11
Depth :19 Time :1
Depth :19 Time :1
Depth :19 Time :20
Depth :19 Time :1
Depth :19 Time :2
Depth :19 Time :144
Depth :19 Time :3
Depth :19 Time :475
Depth :19 Time :214
Depth :19 Time :1
Depth :19 Time :12
Depth :20 Time :204
Depth :20 Time :130
Depth :20 Time :63
Depth :20 Time :27
Depth :20 Time :27
Depth :20 Time :3
Depth :20 Time :1
Depth :20 Time :2
Depth :20 Time :3
Depth :20 Time :372
Depth :20 Time :206
Depth :20 Time :4
Depth :20 Time :1
Depth :20 Time :6
Depth :20 Time :25
Depth :20 Time :1
Depth :20 Time :3
Depth :20 Time :484
Depth :20 Time :409
Depth :21 Time :184
Depth :21 Time :180
Depth :21 Time :118
Depth :21 Time :34
Depth :21 Time :4
Depth :21 Time :1
Depth :21 Time :22
Depth :21 Time :6
Depth :21 Time :3
Depth :21 Time :447
Depth :21 Time :265
Depth :21 Time :7
Depth :21 Time :10
Depth :21 Time :1
Depth :21 Time :1
Depth :21 Time :526
Depth :21 Time :2
Depth :21 Time :14
Depth :21 Time :511
Depth :21 Time :454
Depth :21 Time :52
Depth :21 Time :7
Depth :21 Time :2
Depth :22 Time :276
Depth :22 Time :131
Depth :22 Time :28
Depth :22 Time :95
Depth :22 Time :44
Depth :22 Time :1
Depth :22 Time :1
Depth :22 Time :2
Depth :22 Time :10
Depth :22 Time :7
Depth :22 Time :1
Depth :22 Time :1
Depth :22 Time :532
Depth :22 Time :355
Depth :22 Time :17
Depth :22 Time :2
Depth :22 Time :13
Depth :22 Time :1
Depth :22 Time :1
Depth :22 Time :539
Depth :22 Time :517
Depth :22 Time :31
Depth :22 Time :24
Depth :22 Time :22
Depth :22 Time :2
Depth :22 Time :2
Depth :22 Time :1
Depth :22 Time :5
Depth :22 Time :530
Depth :22 Time :459
Depth :22 Time :15
Depth :22 Time :1
Depth :22 Time :4
Depth :22 Time :104
Depth :23 Time :273
Depth :23 Time :159
Depth :23 Time :95
Depth :23 Time :4
Depth :23 Time :2
Depth :23 Time :26
Depth :23 Time :2
Depth :23 Time :52
Depth :23 Time :22
Depth :23 Time :2
Depth :23 Time :7
Depth :23 Time :42
Depth :23 Time :1
Depth :23 Time :532
Depth :23 Time :417
Depth :23 Time :155
Depth :23 Time :29
Depth :23 Time :26
Depth :23 Time :1
Depth :23 Time :16
Depth :23 Time :11
Depth :23 Time :3
Depth :23 Time :2
Depth :23 Time :4
Depth :23 Time :1
Depth :23 Time :535
Depth :23 Time :517
Depth :23 Time :513
Depth :23 Time :50
Depth :23 Time :65
Depth :23 Time :51
Depth :23 Time :36
Depth :23 Time :25
Depth :23 Time :3
Depth :23 Time :1
Depth :23 Time :3
Depth :23 Time :4
Depth :23 Time :1
Depth :23 Time :5
Depth :23 Time :1
Depth :23 Time :11
Depth :23 Time :3
Depth :23 Time :523
Depth :23 Time :462
Depth :23 Time :203
Depth :23 Time :32
Depth :23 Time :8
Depth :23 Time :1
Depth :23 Time :2
Depth :24 Time :523
Depth :24 Time :207
Depth :24 Time :134
Depth :24 Time :9
Depth :24 Time :60
Depth :24 Time :37
Depth :24 Time :3
Depth :24 Time :5
Depth :24 Time :5
Depth :24 Time :1
Depth :24 Time :3
Depth :24 Time :33
Depth :24 Time :2
Depth :24 Time :34
Depth :24 Time :25
Depth :24 Time :4
Depth :24 Time :527
Depth :24 Time :520
Depth :24 Time :101
Depth :24 Time :214
Depth :24 Time :25
Depth :24 Time :47
Depth :24 Time :2
Depth :24 Time :5
Depth :24 Time :4
Depth :24 Time :45
Depth :24 Time :7
Depth :24 Time :57
Depth :24 Time :1
Depth :24 Time :44
Depth :24 Time :2
Depth :24 Time :2
Depth :24 Time :1
Depth :24 Time :5
Depth :24 Time :9
Depth :24 Time :1
Depth :24 Time :3
Depth :24 Time :1
Depth :24 Time :524
Depth :24 Time :519
Depth :24 Time :519
Depth :24 Time :511
Depth :24 Time :82
Depth :24 Time :56
Depth :24 Time :29
Depth :24 Time :133
Depth :24 Time :102
Depth :24 Time :4
Depth :24 Time :53
Depth :24 Time :1
Depth :24 Time :101
Depth :24 Time :8
Depth :24 Time :1
Depth :24 Time :1
Depth :24 Time :6
Depth :24 Time :6
Depth :24 Time :2
Depth :24 Time :3
Depth :24 Time :1
Depth :24 Time :11
Depth :24 Time :1
Depth :24 Time :9
Depth :24 Time :1
Depth :24 Time :24
Depth :24 Time :3
Depth :24 Time :6
Depth :24 Time :1
Depth :24 Time :528
Depth :24 Time :535
Depth :24 Time :369
Depth :24 Time :16
Depth :24 Time :5
Depth :24 Time :62
Depth :24 Time :1
Depth :24 Time :2
Depth :25 Time :52
Depth :25 Time :2
Depth :25 Time :363
Depth :25 Time :247
Depth :25 Time :66
Depth :25 Time :133
Depth :25 Time :51
Depth :25 Time :7
Depth :25 Time :1
Depth :25 Time :1
Depth :25 Time :20
Depth :25 Time :2
Depth :25 Time :13
Depth :25 Time :1
Depth :25 Time :7
Depth :25 Time :2
Depth :25 Time :42
Depth :25 Time :7
Depth :25 Time :78
Depth :25 Time :1
Depth :25 Time :3
Depth :25 Time :4
Depth :25 Time :1
Depth :25 Time :1
Depth :25 Time :524
Depth :25 Time :516
Depth :25 Time :1
Depth :25 Time :68
Depth :25 Time :513
Depth :25 Time :35
Depth :25 Time :6
Depth :25 Time :53
Depth :25 Time :3
Depth :25 Time :3
Depth :25 Time :1
Depth :25 Time :203
Depth :25 Time :8
Depth :25 Time :1
Depth :25 Time :85
Depth :25 Time :89
Depth :25 Time :45
Depth :25 Time :77
Depth :25 Time :9
Depth :25 Time :11
Depth :25 Time :1
Depth :25 Time :1
Depth :25 Time :1
Depth :25 Time :1
Depth :25 Time :6
Depth :25 Time :5
Depth :25 Time :173
Depth :25 Time :117
Depth :25 Time :16
Depth :25 Time :6
