Using pattern file: test/LV/g34
Using target file: test/LV/g79
Skeleton Type: DepthBounded
d_cutoff: 6
CountNodes : false
Optimisation: false
Decision: true
DepthLimited: false
Using Bounding: false
Workpool: DepthPool
CPU Time (Before collecting metrics) 82441
Depth :1 Time :55
Depth :2 Time :2
Depth :2 Time :2
Depth :2 Time :1
Depth :2 Time :1
Depth :2 Time :2
Depth :2 Time :2
Depth :2 Time :1
Depth :2 Time :1
Depth :2 Time :1
Depth :2 Time :1
Depth :2 Time :1
Depth :2 Time :1
Depth :2 Time :1
Depth :2 Time :1
Depth :2 Time :1
Depth :2 Time :1
Depth :2 Time :1
Depth :2 Time :1
Depth :2 Time :1
Depth :2 Time :1
Depth :2 Time :1
Depth :2 Time :1
Depth :2 Time :1
Depth :2 Time :1
Depth :2 Time :1
Depth :2 Time :1
Depth :2 Time :1
Depth :2 Time :1
Depth :2 Time :1
Depth :2 Time :1
Depth :2 Time :1
Depth :2 Time :1
Depth :2 Time :2
Depth :2 Time :2
Depth :2 Time :2
Depth :2 Time :1
Depth :2 Time :3
Depth :2 Time :3
Depth :2 Time :3
Depth :2 Time :3
Depth :2 Time :2
Depth :2 Time :4
Depth :2 Time :3
Depth :2 Time :2
Depth :2 Time :3
Depth :2 Time :4
Depth :2 Time :4
Depth :2 Time :7
Depth :2 Time :1
Depth :2 Time :3
Depth :2 Time :4
Depth :2 Time :2
Depth :2 Time :1
Depth :2 Time :1
Depth :2 Time :3
Depth :2 Time :3
Depth :2 Time :4
Depth :2 Time :3
Depth :2 Time :3
Depth :2 Time :3
Depth :2 Time :2
Depth :2 Time :4
Depth :2 Time :2
Depth :2 Time :2
Depth :2 Time :1
Depth :2 Time :4
Depth :2 Time :3
Depth :2 Time :1
Depth :2 Time :2
Depth :2 Time :3
Depth :2 Time :1
Depth :2 Time :1
Depth :2 Time :2
Depth :2 Time :2
Depth :2 Time :1
Depth :2 Time :1
Depth :2 Time :2
Depth :2 Time :1
Depth :2 Time :1
Depth :2 Time :3
Depth :2 Time :2
Depth :2 Time :3
Depth :2 Time :3
Depth :2 Time :2
Depth :2 Time :2
Depth :2 Time :2
Depth :2 Time :3
Depth :2 Time :3
Depth :2 Time :1
Depth :2 Time :2
Depth :2 Time :2
Depth :2 Time :2
Depth :2 Time :2
Depth :2 Time :2
Depth :2 Time :1
Depth :2 Time :1
Depth :2 Time :1
Depth :2 Time :1
Depth :2 Time :2
Depth :2 Time :1
Depth :2 Time :3
Depth :2 Time :1
Depth :2 Time :2
Depth :2 Time :2
Depth :2 Time :2
Depth :2 Time :1
Depth :2 Time :1
Depth :2 Time :5
Depth :2 Time :4
Depth :2 Time :3
Depth :2 Time :2
Depth :2 Time :1
Depth :2 Time :2
Depth :2 Time :1
Depth :2 Time :1
Depth :2 Time :2
Depth :2 Time :1
Depth :2 Time :2
Depth :2 Time :5
Depth :2 Time :6
Depth :2 Time :5
Depth :2 Time :4
Depth :3 Time :1
Depth :3 Time :1
Depth :3 Time :1
Depth :3 Time :1
Depth :3 Time :1
Depth :3 Time :1
Depth :3 Time :1
Depth :3 Time :1
Depth :3 Time :1
Depth :3 Time :1
Depth :3 Time :2
Depth :3 Time :1
Depth :3 Time :1
Depth :3 Time :1
Depth :3 Time :1
Depth :3 Time :1
Depth :3 Time :1
Depth :3 Time :4
Depth :3 Time :1
Depth :3 Time :1
Depth :3 Time :1
Depth :3 Time :3
Depth :3 Time :1
Depth :3 Time :1
Depth :3 Time :1
Depth :3 Time :1
Depth :3 Time :1
Depth :3 Time :1
Depth :3 Time :1
Depth :3 Time :1
Depth :3 Time :1
Depth :3 Time :1
Depth :3 Time :1
Depth :3 Time :1
Depth :3 Time :1
Depth :3 Time :1
Depth :3 Time :1
Depth :3 Time :2
Depth :3 Time :1
Depth :3 Time :1
Depth :3 Time :1
Depth :3 Time :1
Depth :3 Time :1
Depth :3 Time :2
Depth :3 Time :1
Depth :3 Time :1
Depth :3 Time :1
Depth :3 Time :1
Depth :3 Time :1
Depth :3 Time :1
Depth :3 Time :1
Depth :3 Time :2
Depth :3 Time :1
Depth :3 Time :1
Depth :3 Time :1
Depth :3 Time :1
Depth :3 Time :1
Depth :3 Time :2
Depth :3 Time :2
Depth :3 Time :2
Depth :3 Time :2
Depth :3 Time :3
Depth :3 Time :2
Depth :3 Time :1
Depth :3 Time :2
Depth :3 Time :2
Depth :3 Time :2
Depth :3 Time :1
Depth :3 Time :3
Depth :3 Time :1
Depth :3 Time :1
Depth :3 Time :1
Depth :3 Time :3
Depth :3 Time :2
Depth :3 Time :3
Depth :3 Time :3
Depth :3 Time :1
Depth :3 Time :2
Depth :3 Time :2
Depth :3 Time :2
Depth :3 Time :2
Depth :3 Time :2
Depth :3 Time :1
Depth :3 Time :2
Depth :3 Time :1
Depth :3 Time :1
Depth :3 Time :1
Depth :3 Time :1
Depth :3 Time :1
Depth :3 Time :1
Depth :3 Time :1
Depth :3 Time :4
Depth :3 Time :1
Depth :3 Time :1
Depth :3 Time :2
Depth :3 Time :1
Depth :3 Time :2
Depth :3 Time :1
Depth :3 Time :1
Depth :3 Time :1
Depth :3 Time :1
Depth :3 Time :2
Depth :3 Time :2
Depth :3 Time :1
Depth :3 Time :3
Depth :3 Time :2
Depth :3 Time :1
Depth :3 Time :2
Depth :3 Time :2
Depth :3 Time :2
Depth :3 Time :4
Depth :3 Time :1
Depth :3 Time :1
Depth :3 Time :2
Depth :3 Time :2
Depth :3 Time :2
Depth :3 Time :2
Depth :3 Time :1
Depth :3 Time :2
Depth :3 Time :2
Depth :3 Time :1
Depth :3 Time :1
Depth :3 Time :2
Depth :3 Time :1
Depth :3 Time :1
Depth :3 Time :4
Depth :3 Time :4
Depth :3 Time :3
Depth :3 Time :1
Depth :3 Time :1
Depth :3 Time :1
Depth :3 Time :2
Depth :3 Time :1
Depth :3 Time :2
Depth :3 Time :2
Depth :3 Time :8
Depth :3 Time :2
Depth :3 Time :3
Depth :3 Time :1
Depth :3 Time :2
Depth :3 Time :1
Depth :3 Time :1
Depth :3 Time :2
Depth :3 Time :2
Depth :3 Time :1
Depth :3 Time :1
Depth :3 Time :3
Depth :3 Time :2
Depth :3 Time :2
Depth :3 Time :1
Depth :3 Time :1
Depth :3 Time :1
Depth :3 Time :1
Depth :3 Time :1
Depth :3 Time :1
Depth :3 Time :1
Depth :3 Time :2
Depth :3 Time :1
Depth :3 Time :4
Depth :3 Time :1
Depth :3 Time :1
Depth :3 Time :1
Depth :3 Time :3
