CPU Time (Before collecting metrics) 35
Accumulated time at depth 1 4s
Accumulated time at depth 2 28s
Accumulated time at depth 3 13s
Accumulated time at depth 4 2s
Accumulated time at depth 5 0s
Accumulated time at depth 6 0s
Accumulated time at depth 7 0s
Accumulated time at depth 8 0s
Accumulated time at depth 9 0s
Accumulated time at depth 10 0s
Accumulated time at depth 11 0s
Accumulated time at depth 12 0s
Accumulated time at depth 13 0s
Accumulated time at depth 14 0s
Accumulated time at depth 15 0s
Accumulated time at depth 16 0s
Accumulated time at depth 17 0s
Accumulated time at depth 18 0s
Accumulated time at depth 19 0s
Accumulated time at depth 20 0s
Accumulated time at depth 21 0s
Accumulated time at depth 22 0s
Accumulated time at depth 23 0s
Accumulated time at depth 24 0s
Accumulated time at depth 25 0s
Accumulated time at depth 26 0s
Accumulated time at depth 27 0s
Accumulated time at depth 28 0s
Accumulated time at depth 29 0s
Accumulated time at depth 30 0s
Accumulated time at depth 31 0s
Accumulated time at depth 32 0s
Accumulated time at depth 33 0s
Accumulated time at depth 34 0s
Accumulated time at depth 35 0s
Accumulated time at depth 36 0s
Accumulated time at depth 37 0s
Accumulated time at depth 38 0s
Accumulated time at depth 39 0s
Accumulated time at depth 40 0s
Accumulated time at depth 41 0s
Accumulated time at depth 42 0s
Accumulated time at depth 43 0s
Accumulated time at depth 44 0s
Accumulated time at depth 45 0s
Accumulated time at depth 46 0s
Accumulated time at depth 47 0s
Accumulated time at depth 48 0s
Accumulated time at depth 49 0s
Accumulated time at depth 50 0s
Accumulated time at depth 51 0s
Accumulated time at depth 52 0s
Accumulated time at depth 53 0s
Accumulated time at depth 54 0s
Accumulated time at depth 55 0s
Accumulated time at depth 56 0s
Accumulated time at depth 57 0s
Accumulated time at depth 58 0s
Accumulated time at depth 59 0s
Accumulated time at depth 60 0s
Accumulated time at depth 61 0s
Accumulated time at depth 62 0s
Accumulated time at depth 63 0s
Accumulated time at depth 64 0s
Accumulated time at depth 65 0s
Accumulated time at depth 66 0s
Accumulated time at depth 67 0s
Accumulated time at depth 68 0s
Accumulated time at depth 69 0s
Accumulated time at depth 70 0s
Accumulated time at depth 71 0s
Accumulated time at depth 72 0s
Accumulated time at depth 73 0s
Accumulated time at depth 74 0s
Accumulated time at depth 75 0s
Accumulated time at depth 76 0s
Accumulated time at depth 77 0s
Accumulated time at depth 78 0s
Accumulated time at depth 79 0s
Accumulated time at depth 80 0s
Accumulated time at depth 81 0s
Accumulated time at depth 82 0s
Accumulated time at depth 83 0s
Accumulated time at depth 84 0s
Accumulated time at depth 85 0s
Accumulated time at depth 86 0s
Accumulated time at depth 87 0s
Accumulated time at depth 88 0s
Accumulated time at depth 89 0s
Accumulated time at depth 90 0s
Accumulated time at depth 91 0s
Accumulated time at depth 92 0s
Accumulated time at depth 93 0s
Accumulated time at depth 94 0s
Accumulated time at depth 95 0s
Accumulated time at depth 96 0s
Accumulated time at depth 97 0s
Accumulated time at depth 98 0s
Accumulated time at depth 99 0s
Accumulated time at depth 100 0s
Accumulated time at depth 101 0s
Accumulated time at depth 102 0s
Accumulated time at depth 103 0s
Accumulated time at depth 104 0s
Accumulated time at depth 105 0s
