experiment,graph,skeleton,nodes,hpx_threads,workers,spawn_depth,backtrack_budget,run,timeout,wall_ms,cpu_ms,vc_size,exit_code,log_file
SEQ,brock200_1.clq,seqvc,1,1,0,5,10000000,1,120m,14626,14598,179,0,/cluster/YewParVCTest/results_vc_full/logs/brock200_1.clq.seqvc.r1.log
SEQ,brock200_1.clq,seq,1,1,0,5,10000000,1,120m,9670,9571,179,0,/cluster/YewParVCTest/results_vc_full/logs/brock200_1.clq.seq.r1.log
SEQ,brock200_2.clq,seqvc,1,1,0,5,10000000,1,120m,270,251,188,0,/cluster/YewParVCTest/results_vc_full/logs/brock200_2.clq.seqvc.r1.log
SEQ,brock200_2.clq,seq,1,1,0,5,10000000,1,120m,253,178,188,0,/cluster/YewParVCTest/results_vc_full/logs/brock200_2.clq.seq.r1.log
SEQ,brock200_3.clq,seqvc,1,1,0,5,10000000,1,120m,1326,1304,185,0,/cluster/YewParVCTest/results_vc_full/logs/brock200_3.clq.seqvc.r1.log
SEQ,brock200_3.clq,seq,1,1,0,5,10000000,1,120m,1000,921,185,0,/cluster/YewParVCTest/results_vc_full/logs/brock200_3.clq.seq.r1.log
SEQ,brock200_4.clq,seqvc,1,1,0,5,10000000,1,120m,2130,2106,183,0,/cluster/YewParVCTest/results_vc_full/logs/brock200_4.clq.seqvc.r1.log
SEQ,brock200_4.clq,seq,1,1,0,5,10000000,1,120m,1501,1417,183,0,/cluster/YewParVCTest/results_vc_full/logs/brock200_4.clq.seq.r1.log
SEQ,brock400_1.clq,seqvc,1,1,0,5,10000000,1,120m,7200010,,,124,/cluster/YewParVCTest/results_vc_full/logs/brock400_1.clq.seqvc.r1.log
SEQ,brock400_1.clq,seq,1,1,0,5,10000000,1,120m,7200022,,,124,/cluster/YewParVCTest/results_vc_full/logs/brock400_1.clq.seq.r1.log
SEQ,brock400_2.clq,seqvc,1,1,0,5,10000000,1,120m,7200011,,,124,/cluster/YewParVCTest/results_vc_full/logs/brock400_2.clq.seqvc.r1.log
SEQ,brock400_2.clq,seq,1,1,0,5,10000000,1,120m,7200015,,,124,/cluster/YewParVCTest/results_vc_full/logs/brock400_2.clq.seq.r1.log
SEQ,brock800_3.clq,seqvc,1,1,0,5,10000000,1,120m,7200012,,,124,/cluster/YewParVCTest/results_vc_full/logs/brock800_3.clq.seqvc.r1.log
SEQ,brock800_3.clq,seq,1,1,0,5,10000000,1,120m,7200024,,,124,/cluster/YewParVCTest/results_vc_full/logs/brock800_3.clq.seq.r1.log
SEQ,C125.9.clq,seqvc,1,1,0,5,10000000,1,120m,1366,1349,91,0,/cluster/YewParVCTest/results_vc_full/logs/C125.9.clq.seqvc.r1.log
SEQ,C125.9.clq,seq,1,1,0,5,10000000,1,120m,897,795,91,0,/cluster/YewParVCTest/results_vc_full/logs/C125.9.clq.seq.r1.log
SEQ,C250.9.clq,seqvc,1,1,0,5,10000000,1,120m,7200010,,,124,/cluster/YewParVCTest/results_vc_full/logs/C250.9.clq.seqvc.r1.log
SEQ,C250.9.clq,seq,1,1,0,5,10000000,1,120m,7200015,,,124,/cluster/YewParVCTest/results_vc_full/logs/C250.9.clq.seq.r1.log
SEQ,c-fat200-1.clq,seqvc,1,1,0,5,10000000,1,120m,13,2,188,0,/cluster/YewParVCTest/results_vc_full/logs/c-fat200-1.clq.seqvc.r1.log
SEQ,c-fat200-1.clq,seq,1,1,0,5,10000000,1,120m,106,0,188,0,/cluster/YewParVCTest/results_vc_full/logs/c-fat200-1.clq.seq.r1.log
SEQ,c-fat200-2.clq,seqvc,1,1,0,5,10000000,1,120m,12,2,176,0,/cluster/YewParVCTest/results_vc_full/logs/c-fat200-2.clq.seqvc.r1.log
SEQ,c-fat200-2.clq,seq,1,1,0,5,10000000,1,120m,74,0,176,0,/cluster/YewParVCTest/results_vc_full/logs/c-fat200-2.clq.seq.r1.log
SEQ,c-fat200-5.clq,seqvc,1,1,0,5,10000000,1,120m,17,1,142,0,/cluster/YewParVCTest/results_vc_full/logs/c-fat200-5.clq.seqvc.r1.log
SEQ,c-fat200-5.clq,seq,1,1,0,5,10000000,1,120m,74,0,142,0,/cluster/YewParVCTest/results_vc_full/logs/c-fat200-5.clq.seq.r1.log
SEQ,c-fat500-1.clq,seqvc,1,1,0,5,10000000,1,120m,25,13,486,0,/cluster/YewParVCTest/results_vc_full/logs/c-fat500-1.clq.seqvc.r1.log
SEQ,c-fat500-1.clq,seq,1,1,0,5,10000000,1,120m,74,5,486,0,/cluster/YewParVCTest/results_vc_full/logs/c-fat500-1.clq.seq.r1.log
SEQ,c-fat500-2.clq,seqvc,1,1,0,5,10000000,1,120m,30,13,474,0,/cluster/YewParVCTest/results_vc_full/logs/c-fat500-2.clq.seqvc.r1.log
SEQ,c-fat500-2.clq,seq,1,1,0,5,10000000,1,120m,63,5,474,0,/cluster/YewParVCTest/results_vc_full/logs/c-fat500-2.clq.seq.r1.log
SEQ,c-fat500-5.clq,seqvc,1,1,0,5,10000000,1,120m,48,12,436,0,/cluster/YewParVCTest/results_vc_full/logs/c-fat500-5.clq.seqvc.r1.log
SEQ,c-fat500-5.clq,seq,1,1,0,5,10000000,1,120m,80,5,436,0,/cluster/YewParVCTest/results_vc_full/logs/c-fat500-5.clq.seq.r1.log
SEQ,DSJC500_5.clq,seqvc,1,1,0,5,10000000,1,120m,85791,85695,487,0,/cluster/YewParVCTest/results_vc_full/logs/DSJC500_5.clq.seqvc.r1.log
