CPU Time (Before collecting metrics) 300013
Depth :1 Time :22053
Depth :2 Time :74
Depth :2 Time :94
Depth :2 Time :104
Depth :2 Time :83
Depth :2 Time :82
Depth :2 Time :94
Depth :2 Time :90
Depth :2 Time :91
Depth :2 Time :77
Depth :2 Time :93
Depth :2 Time :91
Depth :2 Time :110
Depth :2 Time :81
Depth :2 Time :84
Depth :2 Time :86
Depth :2 Time :93
Depth :2 Time :91
Depth :2 Time :88
Depth :2 Time :81
Depth :2 Time :99
Depth :2 Time :88
Depth :2 Time :84
Depth :2 Time :93
Depth :2 Time :93
Depth :2 Time :90
Depth :2 Time :78
Depth :2 Time :97
Depth :2 Time :80
Depth :2 Time :87
Depth :2 Time :93
Depth :2 Time :91
Depth :2 Time :93
Depth :2 Time :83
Depth :2 Time :98
Depth :2 Time :91
Depth :2 Time :90
Depth :2 Time :97
Depth :2 Time :80
Depth :2 Time :94
Depth :2 Time :91
Depth :2 Time :97
Depth :2 Time :84
Depth :2 Time :100
Depth :2 Time :98
Depth :2 Time :81
Depth :2 Time :90
Depth :2 Time :93
Depth :2 Time :93
Depth :2 Time :93
Depth :2 Time :93
Depth :2 Time :90
Depth :2 Time :89
Depth :2 Time :91
Depth :2 Time :93
Depth :2 Time :92
Depth :2 Time :90
Depth :2 Time :86
Depth :2 Time :89
Depth :2 Time :86
Depth :2 Time :94
Depth :2 Time :89
Depth :2 Time :81
Depth :2 Time :83
Depth :2 Time :74
Depth :2 Time :72
Depth :2 Time :90
Depth :2 Time :90
Depth :2 Time :88
Depth :2 Time :82
Depth :2 Time :77
Depth :2 Time :86
Depth :2 Time :85
Depth :2 Time :89
Depth :2 Time :86
Depth :2 Time :79
Depth :2 Time :95
Depth :2 Time :83
Depth :2 Time :81
Depth :2 Time :81
Depth :2 Time :89
Depth :2 Time :87
Depth :2 Time :78
Depth :2 Time :78
Depth :2 Time :73
Depth :2 Time :81
Depth :2 Time :93
Depth :2 Time :83
Depth :2 Time :88
Depth :2 Time :87
Depth :2 Time :59
Depth :2 Time :87
Depth :2 Time :91
Depth :2 Time :95
Depth :2 Time :77
Depth :2 Time :91
Depth :2 Time :87
Depth :2 Time :89
Depth :2 Time :86
Depth :2 Time :80
Depth :2 Time :54
Depth :2 Time :83
Depth :2 Time :84
Depth :2 Time :57
Depth :2 Time :89
Depth :2 Time :89
Depth :2 Time :80
Depth :2 Time :90
Depth :2 Time :90
Depth :2 Time :93
Depth :2 Time :98
Depth :2 Time :83
Depth :2 Time :75
Depth :2 Time :84
Depth :2 Time :92
Depth :2 Time :90
Depth :2 Time :82
Depth :2 Time :94
Depth :2 Time :71
Depth :2 Time :84
Depth :2 Time :93
Depth :2 Time :85
Depth :2 Time :78
Depth :2 Time :74
Depth :2 Time :82
Depth :2 Time :86
Depth :2 Time :81
Depth :2 Time :85
Depth :2 Time :80
Depth :2 Time :81
Depth :2 Time :77
Depth :2 Time :85
Depth :2 Time :89
Depth :2 Time :73
Depth :2 Time :87
Depth :2 Time :76
Depth :2 Time :83
Depth :2 Time :91
Depth :2 Time :84
Depth :2 Time :87
Depth :2 Time :87
Depth :2 Time :88
Depth :2 Time :88
Depth :2 Time :71
Depth :2 Time :93
Depth :2 Time :82
Depth :2 Time :65
Depth :2 Time :90
Depth :2 Time :78
Depth :2 Time :80
Depth :2 Time :95
Depth :2 Time :89
Depth :2 Time :79
Depth :2 Time :86
Depth :2 Time :82
Depth :2 Time :75
Depth :2 Time :86
Depth :2 Time :86
Depth :2 Time :77
Depth :2 Time :90
Depth :2 Time :102
Depth :2 Time :93
Depth :2 Time :89
Depth :2 Time :92
Depth :2 Time :70
Depth :2 Time :96
Depth :2 Time :97
Depth :2 Time :73
Depth :2 Time :98
Depth :2 Time :93
Depth :2 Time :80
Depth :2 Time :80
Depth :2 Time :75
Depth :2 Time :94
Depth :2 Time :87
Depth :2 Time :73
Depth :2 Time :78
Depth :2 Time :80
Depth :2 Time :77
Depth :2 Time :90
Depth :2 Time :91
Depth :2 Time :91
Depth :2 Time :83
Depth :2 Time :88
Depth :2 Time :74
Depth :2 Time :85
Depth :2 Time :77
Depth :2 Time :91
Depth :2 Time :91
Depth :2 Time :75
Depth :2 Time :89
Depth :2 Time :93
Depth :2 Time :64
Depth :2 Time :70
Depth :2 Time :86
Depth :2 Time :92
Depth :2 Time :84
Depth :2 Time :75
Depth :2 Time :71
Depth :2 Time :76
Depth :2 Time :86
Depth :2 Time :88
Depth :2 Time :89
Depth :2 Time :79
Depth :2 Time :67
Depth :2 Time :81
Depth :2 Time :84
Depth :2 Time :80
Depth :2 Time :53
Depth :2 Time :83
Depth :2 Time :53
Depth :2 Time :74
Depth :2 Time :65
Depth :2 Time :78
Depth :2 Time :73
Depth :2 Time :87
Depth :2 Time :58
Depth :2 Time :55
Depth :2 Time :73
Depth :2 Time :82
Depth :2 Time :54
Depth :2 Time :67
Depth :2 Time :83
Depth :2 Time :72
Depth :2 Time :86
Depth :2 Time :76
Depth :2 Time :81
Depth :2 Time :62
Depth :2 Time :78
Depth :2 Time :91
Depth :2 Time :59
Depth :2 Time :59
Depth :2 Time :62
Depth :2 Time :84
Depth :2 Time :87
Depth :2 Time :72
Depth :2 Time :81
Depth :2 Time :78
Depth :2 Time :72
Depth :2 Time :59
Depth :2 Time :70
Depth :2 Time :84
Depth :2 Time :78
Depth :2 Time :62
Depth :2 Time :75
Depth :2 Time :69
Depth :2 Time :53
Depth :2 Time :79
Depth :2 Time :56
Depth :2 Time :60
Depth :2 Time :79
Depth :2 Time :82
Depth :2 Time :45
Depth :2 Time :81
Depth :2 Time :72
Depth :2 Time :71
Depth :2 Time :76
Depth :2 Time :84
Depth :2 Time :60
Depth :2 Time :109
Depth :2 Time :107
Depth :2 Time :80
Depth :2 Time :86
Depth :2 Time :67
Depth :2 Time :51
Depth :2 Time :53
Depth :2 Time :65
Depth :2 Time :58
Depth :2 Time :90
Depth :2 Time :56
Depth :2 Time :87
Depth :2 Time :72
Depth :2 Time :60
Depth :2 Time :85
Depth :2 Time :75
Depth :2 Time :62
Depth :2 Time :97
Depth :2 Time :53
Depth :2 Time :54
Depth :2 Time :82
Depth :2 Time :70
Depth :2 Time :77
Depth :2 Time :57
Depth :2 Time :92
Depth :2 Time :56
Depth :2 Time :59
Depth :2 Time :66
Depth :2 Time :54
Depth :2 Time :48
Depth :2 Time :71
Depth :2 Time :51
Depth :2 Time :73
Depth :2 Time :61
Depth :2 Time :106
Depth :2 Time :104
Depth :2 Time :64
Depth :2 Time :63
Depth :2 Time :50
Depth :2 Time :71
Depth :2 Time :73
Depth :2 Time :66
Depth :2 Time :98
Depth :2 Time :45
Depth :2 Time :83
Depth :2 Time :81
Depth :2 Time :58
Depth :2 Time :48
Depth :2 Time :58
Depth :2 Time :56
Depth :2 Time :96
Depth :2 Time :83
Depth :2 Time :63
Depth :2 Time :73
Depth :2 Time :63
Depth :2 Time :53
Depth :2 Time :76
Depth :2 Time :56
Depth :2 Time :81
Depth :2 Time :86
Depth :2 Time :120
Depth :2 Time :78
Depth :2 Time :86
Depth :2 Time :88
Depth :2 Time :66
Depth :2 Time :78
Depth :2 Time :61
Depth :2 Time :93
Depth :2 Time :73
Depth :2 Time :83
Depth :2 Time :121
Depth :2 Time :68
Depth :2 Time :76
Depth :2 Time :88
Depth :2 Time :60
Depth :2 Time :86
Depth :2 Time :71
Depth :2 Time :90
Depth :2 Time :68
Depth :2 Time :85
Depth :2 Time :69
Depth :2 Time :97
Depth :2 Time :99
Depth :2 Time :74
Depth :2 Time :67
Depth :2 Time :102
Depth :2 Time :97
Depth :2 Time :115
Depth :2 Time :92
Depth :2 Time :98
Depth :2 Time :79
Depth :2 Time :72
Depth :2 Time :74
Depth :2 Time :143
Depth :2 Time :89
Depth :2 Time :79
Depth :2 Time :63
Depth :2 Time :84
Depth :2 Time :107
Depth :2 Time :168
Depth :2 Time :107
Depth :2 Time :87
Depth :2 Time :94
Depth :2 Time :95
Depth :2 Time :142
Depth :2 Time :77
Depth :2 Time :111
Depth :2 Time :92
Depth :2 Time :82
Depth :2 Time :129
Depth :2 Time :118
Depth :2 Time :95
Depth :2 Time :67
Depth :2 Time :113
Depth :2 Time :136
Depth :2 Time :135
Depth :2 Time :118
Depth :2 Time :88
Depth :2 Time :113
Depth :2 Time :112
Depth :2 Time :97
Depth :2 Time :164
Depth :2 Time :116
Depth :2 Time :103
Depth :2 Time :103
Depth :2 Time :142
Depth :2 Time :108
Depth :2 Time :114
Depth :2 Time :147
Depth :2 Time :130
Depth :2 Time :110
Depth :2 Time :134
Depth :2 Time :110
Depth :2 Time :91
Depth :2 Time :106
Depth :2 Time :141
Depth :2 Time :134
Depth :2 Time :213
Depth :2 Time :93
Depth :2 Time :143
Depth :2 Time :171
Depth :2 Time :80
Depth :2 Time :119
Depth :2 Time :153
Depth :2 Time :107
Depth :2 Time :135
Depth :2 Time :115
Depth :2 Time :157
Depth :2 Time :197
Depth :2 Time :133
Depth :2 Time :105
Depth :2 Time :139
Depth :2 Time :207
Depth :2 Time :220
Depth :2 Time :145
Depth :2 Time :103
Depth :2 Time :183
Depth :2 Time :138
Depth :2 Time :272
Depth :2 Time :240
Depth :2 Time :292
Depth :2 Time :223
Depth :2 Time :106
Depth :2 Time :174
Depth :2 Time :152
Depth :2 Time :192
Depth :2 Time :159
Depth :2 Time :101
Depth :2 Time :124
Depth :2 Time :147
Depth :2 Time :135
Depth :2 Time :268
Depth :2 Time :224
Depth :2 Time :169
Depth :2 Time :88
Depth :2 Time :314
Depth :2 Time :298
Depth :2 Time :256
Depth :2 Time :301
Depth :2 Time :129
Depth :2 Time :145
Depth :2 Time :183
Depth :2 Time :232
Depth :2 Time :228
Depth :2 Time :177
Depth :2 Time :235
Depth :2 Time :173
Depth :2 Time :268
Depth :2 Time :268
Depth :2 Time :163
Depth :2 Time :191
Depth :2 Time :367
Depth :2 Time :222
Depth :2 Time :287
Depth :2 Time :290
